a,b,c
95.000000,52.000000,1
76.000000,61.000000,1
87.000000,66.000000,1
86.000000,62.000000,1
82.000000,66.000000,1
87.000000,56.000000,1
81.000000,53.000000,1
84.000000,54.000000,1
90.000000,48.000000,1
78.000000,60.000000,1
88.000000,63.000000,1
81.000000,63.000000,1
77.000000,58.000000,1
91.000000,65.000000,1
95.000000,47.000000,1
95.000000,55.000000,1
82.000000,53.000000,1
96.000000,50.000000,1
92.000000,62.000000,1
79.000000,65.000000,1
90.000000,58.000000,1
96.000000,54.000000,1
92.000000,64.000000,1
76.000000,57.000000,1
97.000000,51.000000,1
92.000000,48.000000,1
91.000000,46.000000,1
92.000000,48.000000,1
84.000000,56.000000,1
88.000000,56.000000,1
98.000000,48.000000,1
98.000000,49.000000,1
92.000000,65.000000,1
95.000000,54.000000,1
96.000000,61.000000,1
77.000000,58.000000,1
95.000000,70.000000,1
98.000000,52.000000,1
98.000000,49.000000,1
99.000000,61.000000,1
79.000000,61.000000,1
78.000000,54.000000,1
99.000000,47.000000,1
80.000000,56.000000,1
93.000000,49.000000,1
92.000000,64.000000,1
79.000000,54.000000,1
86.000000,69.000000,1
75.000000,59.000000,1
86.000000,53.000000,1
78.000000,64.000000,1
81.000000,61.000000,1
83.000000,60.000000,1
91.000000,49.000000,1
83.000000,54.000000,1
84.000000,67.000000,1
98.000000,51.000000,1
87.000000,62.000000,1
90.000000,58.000000,1
81.000000,67.000000,1
76.000000,63.000000,1
77.000000,64.000000,1
82.000000,63.000000,1
83.000000,61.000000,1
90.000000,63.000000,1
81.000000,66.000000,1
79.000000,67.000000,1
83.000000,53.000000,1
93.000000,62.000000,1
84.000000,61.000000,1
96.000000,61.000000,1
77.000000,53.000000,1
74.000000,58.000000,1
91.000000,63.000000,1
98.000000,57.000000,1
98.000000,48.000000,1
88.000000,69.000000,1
85.000000,67.000000,1
78.000000,61.000000,1
86.000000,59.000000,1
83.000000,62.000000,1
92.000000,59.000000,1
99.000000,47.000000,1
93.000000,62.000000,1
96.000000,58.000000,1
78.000000,68.000000,1
92.000000,52.000000,1
95.000000,60.000000,1
87.000000,58.000000,1
94.000000,65.000000,1
99.000000,67.000000,1
95.000000,57.000000,1
93.000000,54.000000,1
76.000000,65.000000,1
77.000000,68.000000,1
74.000000,64.000000,1
90.000000,46.000000,1
73.000000,62.000000,1
90.000000,46.000000,1
72.000000,59.000000,1
74.000000,63.000000,1
73.000000,62.000000,1
98.000000,45.000000,1
75.000000,64.000000,1
75.000000,64.000000,1
91.000000,45.000000,1
74.000000,67.000000,1
72.000000,63.000000,1
71.000000,62.000000,1
97.000000,44.000000,1
72.000000,61.000000,1
89.000000,45.000000,1
97.000000,44.000000,1
71.000000,63.000000,1
82.000000,46.000000,1
94.000000,45.000000,1
72.000000,62.000000,1
83.000000,46.000000,1
95.000000,45.000000,1
92.000000,45.000000,1
73.000000,64.000000,1
95.000000,45.000000,1
87.000000,45.000000,1
73.000000,67.000000,1
90.000000,44.000000,1
97.000000,43.000000,1
70.000000,65.000000,1
90.000000,44.000000,1
70.000000,66.000000,1
92.000000,44.000000,1
85.000000,44.000000,1
85.000000,45.000000,1
97.000000,43.000000,1
80.000000,45.000000,1
71.000000,67.000000,1
95.000000,43.000000,1
96.000000,43.000000,1
80.000000,45.000000,1
80.000000,45.000000,1
70.000000,63.000000,1
95.000000,43.000000,1
76.000000,51.000000,1
80.000000,45.000000,1
90.000000,44.000000,1
96.000000,43.000000,1
90.000000,44.000000,1
90.000000,44.000000,1
77.000000,46.000000,1
96.000000,41.000000,1
92.000000,42.000000,1
76.000000,48.000000,1
79.000000,45.000000,1
97.000000,41.000000,1
86.000000,43.000000,1
78.000000,45.000000,1
78.000000,45.000000,1
91.000000,43.000000,1
70.000000,67.000000,1
72.000000,57.000000,1
69.000000,66.000000,1
95.000000,42.000000,1
94.000000,41.000000,1
74.000000,54.000000,1
83.000000,43.000000,1
75.000000,50.000000,1
95.000000,42.000000,1
72.000000,57.000000,1
85.000000,43.000000,1
77.000000,47.000000,1
82.000000,44.000000,1
75.000000,51.000000,1
77.000000,46.000000,1
95.000000,40.000000,1
91.000000,40.000000,1
86.000000,41.000000,1
86.000000,41.000000,1
77.000000,42.000000,1
77.000000,41.000000,1
86.000000,41.000000,1
94.000000,40.000000,1
78.000000,42.000000,1
74.000000,51.000000,1
73.000000,53.000000,1
89.000000,40.000000,1
94.000000,40.000000,1
99.000000,40.000000,1
97.000000,40.000000,1
98.000000,40.000000,1
75.000000,48.000000,1
77.000000,45.000000,1
87.000000,41.000000,1
92.000000,40.000000,1
93.000000,40.000000,1
74.000000,52.000000,1
96.000000,40.000000,1
72.000000,56.000000,1
86.000000,41.000000,1
80.000000,41.000000,1
77.000000,43.000000,1
75.000000,47.000000,1
76.000000,42.000000,1
75.000000,44.000000,1
89.000000,39.000000,1
95.000000,39.000000,1
92.000000,39.000000,1
75.000000,44.000000,1
71.000000,57.000000,1
74.000000,48.000000,1
73.000000,51.000000,1
79.000000,40.000000,1
75.000000,45.000000,1
75.000000,45.000000,1
76.000000,42.000000,1
75.000000,46.000000,1
87.000000,40.000000,1
74.000000,47.000000,1
79.000000,40.000000,1
94.000000,38.000000,1
79.000000,39.000000,1
73.000000,48.000000,1
78.000000,39.000000,1
75.000000,42.000000,1
74.000000,43.000000,1
80.000000,39.000000,1
74.000000,45.000000,1
74.000000,43.000000,1
74.000000,45.000000,1
75.000000,41.000000,1
91.000000,38.000000,1
79.000000,39.000000,1
72.000000,53.000000,1
74.000000,43.000000,1
70.000000,60.000000,1
88.000000,38.000000,1
75.000000,40.000000,1
79.000000,39.000000,1
92.000000,38.000000,1
71.000000,56.000000,1
92.000000,37.000000,1
76.000000,39.000000,1
94.000000,37.000000,1
70.000000,59.000000,1
80.000000,38.000000,1
71.000000,54.000000,1
96.000000,37.000000,1
72.000000,51.000000,1
97.000000,37.000000,1
74.000000,40.000000,1
81.000000,38.000000,1
82.000000,38.000000,1
72.000000,49.000000,1
73.000000,43.000000,1
70.000000,59.000000,1
85.000000,38.000000,1
86.000000,38.000000,1
76.000000,38.000000,1
75.000000,38.000000,1
76.000000,38.000000,1
71.000000,51.000000,1
98.000000,36.000000,1
78.000000,38.000000,1
74.000000,38.000000,1
74.000000,38.000000,1
77.000000,38.000000,1
88.000000,37.000000,1
99.000000,36.000000,1
71.000000,51.000000,1
83.000000,37.000000,1
72.000000,43.000000,1
79.000000,37.000000,1
95.000000,36.000000,1
94.000000,36.000000,1
72.000000,42.000000,1
79.000000,37.000000,1
72.000000,38.000000,1
72.000000,38.000000,1
99.000000,35.000000,1
71.000000,48.000000,1
72.000000,39.000000,1
99.000000,35.000000,1
70.000000,55.000000,1
88.000000,36.000000,1
78.000000,37.000000,1
71.000000,44.000000,1
73.000000,37.000000,1
84.000000,36.000000,1
85.000000,36.000000,1
93.000000,35.000000,1
81.000000,36.000000,1
91.000000,35.000000,1
80.000000,36.000000,1
79.000000,36.000000,1
71.000000,42.000000,1
90.000000,35.000000,1
80.000000,95.000000,2
76.000000,91.000000,2
71.000000,85.000000,2
70.000000,76.000000,2
76.000000,79.000000,2
75.000000,74.000000,2
80.000000,79.000000,2
75.000000,91.000000,2
72.000000,90.000000,2
73.000000,85.000000,2
82.000000,88.000000,2
67.000000,80.000000,2
66.000000,71.000000,2
68.000000,77.000000,2
73.000000,83.000000,2
81.000000,98.000000,2
79.000000,91.000000,2
82.000000,92.000000,2
78.000000,81.000000,2
66.000000,81.000000,2
69.000000,85.000000,2
78.000000,78.000000,2
67.000000,79.000000,2
75.000000,84.000000,2
76.000000,75.000000,2
79.000000,84.000000,2
68.000000,69.000000,2
80.000000,96.000000,2
80.000000,85.000000,2
74.000000,71.000000,2
81.000000,83.000000,2
83.000000,98.000000,2
66.000000,71.000000,2
81.000000,87.000000,2
75.000000,78.000000,2
78.000000,79.000000,2
74.000000,86.000000,2
73.000000,81.000000,2
72.000000,82.000000,2
68.000000,88.000000,2
68.000000,72.000000,2
77.000000,73.000000,2
74.000000,82.000000,2
74.000000,77.000000,2
81.000000,91.000000,2
66.000000,83.000000,2
76.000000,73.000000,2
69.000000,88.000000,2
71.000000,81.000000,2
65.000000,86.000000,2
79.000000,76.000000,2
71.000000,72.000000,2
73.000000,81.000000,2
72.000000,74.000000,2
69.000000,74.000000,2
76.000000,91.000000,2
74.000000,71.000000,2
83.000000,88.000000,2
68.000000,79.000000,2
78.000000,99.000000,2
80.000000,93.000000,2
75.000000,87.000000,2
77.000000,73.000000,2
67.000000,83.000000,2
69.000000,86.000000,2
86.000000,97.000000,2
79.000000,96.000000,2
67.000000,85.000000,2
67.000000,83.000000,2
66.000000,81.000000,2
74.000000,76.000000,2
74.000000,76.000000,2
68.000000,75.000000,2
72.000000,71.000000,2
86.000000,97.000000,2
67.000000,85.000000,2
84.000000,96.000000,2
69.000000,84.000000,2
79.000000,78.000000,2
73.000000,85.000000,2
81.000000,92.000000,2
74.000000,75.000000,2
71.000000,83.000000,2
73.000000,82.000000,2
84.000000,99.000000,2
75.000000,92.000000,2
78.000000,96.000000,2
66.000000,86.000000,2
67.000000,73.000000,2
81.000000,87.000000,2
73.000000,74.000000,2
77.000000,98.000000,2
66.000000,80.000000,2
77.000000,94.000000,2
68.000000,73.000000,2
73.000000,72.000000,2
74.000000,82.000000,2
75.000000,92.000000,2
78.000000,80.000000,2
76.000000,97.000000,2
78.000000,99.000000,2
76.000000,74.000000,2
79.000000,78.000000,2
69.000000,78.000000,2
85.000000,97.000000,2
71.000000,79.000000,2
69.000000,84.000000,2
79.000000,86.000000,2
78.000000,87.000000,2
84.000000,97.000000,2
84.000000,95.000000,2
68.000000,80.000000,2
72.000000,78.000000,2
70.000000,91.000000,2
73.000000,72.000000,2
79.000000,86.000000,2
79.000000,88.000000,2
66.000000,74.000000,2
68.000000,83.000000,2
69.000000,87.000000,2
74.000000,71.000000,2
72.000000,84.000000,2
68.000000,70.000000,2
83.000000,97.000000,2
74.000000,86.000000,2
66.000000,71.000000,2
78.000000,77.000000,2
68.000000,70.000000,2
83.000000,93.000000,2
77.000000,95.000000,2
80.000000,81.000000,2
72.000000,77.000000,2
77.000000,83.000000,2
72.000000,91.000000,2
72.000000,86.000000,2
78.000000,90.000000,2
80.000000,89.000000,2
81.000000,95.000000,2
77.000000,89.000000,2
82.000000,86.000000,2
81.000000,95.000000,2
76.000000,90.000000,2
84.000000,96.000000,2
69.000000,89.000000,2
72.000000,87.000000,2
73.000000,88.000000,2
66.000000,77.000000,2
76.000000,78.000000,2
74.000000,75.000000,2
74.000000,75.000000,2
76.000000,91.000000,2
76.000000,91.000000,2
81.000000,84.000000,2
75.000000,72.000000,2
76.000000,82.000000,2
76.000000,85.000000,2
82.000000,87.000000,2
68.000000,81.000000,2
76.000000,94.000000,2
78.000000,77.000000,2
75.000000,83.000000,2
75.000000,82.000000,2
75.000000,90.000000,2
83.000000,88.000000,2
68.000000,88.000000,2
82.000000,86.000000,2
79.000000,75.000000,2
82.000000,87.000000,2
72.000000,91.000000,2
72.000000,86.000000,2
86.000000,99.000000,2
72.000000,90.000000,2
81.000000,96.000000,2
66.000000,77.000000,2
73.000000,74.000000,2
77.000000,78.000000,2
84.000000,96.000000,2
86.000000,99.000000,2
68.000000,83.000000,2
81.000000,89.000000,2
83.000000,96.000000,2
73.000000,85.000000,2
83.000000,97.000000,2
71.000000,83.000000,2
70.000000,79.000000,2
85.000000,94.000000,2
73.000000,72.000000,2
79.000000,84.000000,2
80.000000,80.000000,2
71.000000,75.000000,2
85.000000,99.000000,2
68.000000,73.000000,2
70.000000,89.000000,2
80.000000,90.000000,2
75.000000,94.000000,2
80.000000,95.000000,2
81.000000,86.000000,2
74.000000,89.000000,2
71.000000,92.000000,2
79.000000,81.000000,2
67.000000,86.000000,2
76.000000,86.000000,2
70.000000,78.000000,2
73.000000,94.000000,2
67.000000,83.000000,2
68.000000,84.000000,2
77.000000,93.000000,2
68.000000,76.000000,2
79.000000,84.000000,2
68.000000,74.000000,2
71.000000,79.000000,2
75.000000,97.000000,2
75.000000,98.000000,2
76.000000,98.000000,2
65.000000,87.000000,2
65.000000,87.000000,2
70.000000,92.000000,2
72.000000,94.000000,2
74.000000,96.000000,2
76.000000,99.000000,2
76.000000,99.000000,2
74.000000,96.000000,2
73.000000,95.000000,2
71.000000,95.000000,2
73.000000,96.000000,2
69.000000,95.000000,2
72.000000,95.000000,2
80.000000,78.000000,2
65.000000,88.000000,2
74.000000,98.000000,2
65.000000,88.000000,2
68.000000,93.000000,2
70.000000,95.000000,2
73.000000,98.000000,2
73.000000,99.000000,2
73.000000,97.000000,2
69.000000,94.000000,2
73.000000,96.000000,2
71.000000,94.000000,2
84.000000,90.000000,2
72.000000,96.000000,2
71.000000,96.000000,2
73.000000,99.000000,2
85.000000,90.000000,2
82.000000,83.000000,2
66.000000,91.000000,2
89.000000,99.000000,2
86.000000,92.000000,2
82.000000,82.000000,2
67.000000,95.000000,2
66.000000,96.000000,2
68.000000,95.000000,2
87.000000,95.000000,2
84.000000,89.000000,2
71.000000,99.000000,2
67.000000,98.000000,2
65.000000,90.000000,2
82.000000,81.000000,2
88.000000,97.000000,2
86.000000,91.000000,2
85.000000,92.000000,2
66.000000,94.000000,2
68.000000,99.000000,2
69.000000,99.000000,2
66.000000,95.000000,2
67.000000,98.000000,2
70.000000,99.000000,2
85.000000,89.000000,2
69.000000,99.000000,2
70.000000,99.000000,2
67.000000,98.000000,2
68.000000,99.000000,2
68.000000,99.000000,2
88.000000,99.000000,2
85.000000,84.000000,2
83.000000,81.000000,2
65.000000,98.000000,2
67.000000,99.000000,2
66.000000,99.000000,2
92.000000,99.000000,2
88.000000,95.000000,2
87.000000,88.000000,2
82.000000,79.000000,2
88.000000,93.000000,2
67.000000,99.000000,2
85.000000,85.000000,2
90.000000,99.000000,2
84.000000,84.000000,2
87.000000,92.000000,2
66.000000,97.000000,2
88.000000,95.000000,2
89.000000,96.000000,2
81.000000,77.000000,2
91.000000,96.000000,2
84.000000,83.000000,2
86.000000,88.000000,2
83.000000,81.000000,2
84.000000,84.000000,2
87.000000,90.000000,2
87.000000,92.000000,2
86.000000,89.000000,2
90.000000,99.000000,2
90.000000,96.000000,2
90.000000,98.000000,2
82.000000,80.000000,2
88.000000,91.000000,2
87.000000,88.000000,2
87.000000,92.000000,2
83.000000,81.000000,2
90.000000,99.000000,2
67.000000,99.000000,2
65.000000,96.000000,2
88.000000,93.000000,2
66.000000,99.000000,2
65.000000,98.000000,2
93.000000,98.000000,2
89.000000,92.000000,2
92.000000,95.000000,2
94.000000,93.000000,2
99.000000,99.000000,2
89.000000,90.000000,2
92.000000,94.000000,2
91.000000,94.000000,2
91.000000,89.000000,2
86.000000,83.000000,2
89.000000,90.000000,2
89.000000,87.000000,2
96.000000,95.000000,2
94.000000,95.000000,2
92.000000,92.000000,2
95.000000,93.000000,2
90.000000,89.000000,2
88.000000,89.000000,2
92.000000,91.000000,2
89.000000,90.000000,2
91.000000,90.000000,2
93.000000,92.000000,2
97.000000,97.000000,2
88.000000,85.000000,2
88.000000,86.000000,2
94.000000,95.000000,2
91.000000,92.000000,2
95.000000,96.000000,2
97.000000,96.000000,2
86.000000,85.000000,2
94.000000,92.000000,2
93.000000,94.000000,2
80.000000,75.000000,2
91.000000,90.000000,2
95.000000,96.000000,2
93.000000,94.000000,2
84.000000,82.000000,2
91.000000,87.000000,2
92.000000,85.000000,2
97.000000,94.000000,2
99.000000,92.000000,2
94.000000,90.000000,2
98.000000,89.000000,2
97.000000,92.000000,2
92.000000,88.000000,2
95.000000,91.000000,2
96.000000,88.000000,2
94.000000,88.000000,2
94.000000,86.000000,2
99.000000,95.000000,2
91.000000,84.000000,2
97.000000,94.000000,2
90.000000,83.000000,2
91.000000,84.000000,2
99.000000,96.000000,2
88.000000,84.000000,2
92.000000,84.000000,2
91.000000,87.000000,2
89.000000,84.000000,2
90.000000,84.000000,2
99.000000,96.000000,2
93.000000,89.000000,2
97.000000,89.000000,2
99.000000,97.000000,2
97.000000,89.000000,2
99.000000,95.000000,2
89.000000,84.000000,2
92.000000,87.000000,2
82.000000,77.000000,2
99.000000,93.000000,2
92.000000,88.000000,2
92.000000,84.000000,2
96.000000,88.000000,2
86.000000,80.000000,2
99.000000,94.000000,2
85.000000,80.000000,2
94.000000,88.000000,2
95.000000,88.000000,2
89.000000,83.000000,2
97.000000,91.000000,2
94.000000,90.000000,2
98.000000,93.000000,2
86.000000,81.000000,2
88.000000,83.000000,2
89.000000,84.000000,2
92.000000,87.000000,2
95.000000,88.000000,2
98.000000,88.000000,2
96.000000,83.000000,2
85.000000,78.000000,2
96.000000,86.000000,2
97.000000,87.000000,2
91.000000,83.000000,2
98.000000,86.000000,2
91.000000,79.000000,2
88.000000,79.000000,2
98.000000,87.000000,2
99.000000,88.000000,2
99.000000,84.000000,2
95.000000,81.000000,2
97.000000,84.000000,2
94.000000,85.000000,2
96.000000,85.000000,2
95.000000,81.000000,2
89.000000,78.000000,2
85.000000,76.000000,2
85.000000,76.000000,2
91.000000,82.000000,2
87.000000,78.000000,2
99.000000,86.000000,2
89.000000,80.000000,2
89.000000,80.000000,2
90.000000,82.000000,2
91.000000,81.000000,2
83.000000,76.000000,2
88.000000,78.000000,2
93.000000,84.000000,2
95.000000,84.000000,2
90.000000,82.000000,2
95.000000,81.000000,2
87.000000,79.000000,2
89.000000,79.000000,2
98.000000,85.000000,2
90.000000,82.000000,2
92.000000,77.000000,2
86.000000,75.000000,2
80.000000,73.000000,2
79.000000,73.000000,2
93.000000,79.000000,2
85.000000,75.000000,2
90.000000,78.000000,2
92.000000,77.000000,2
89.000000,76.000000,2
83.000000,74.000000,2
77.000000,72.000000,2
97.000000,79.000000,2
95.000000,78.000000,2
84.000000,75.000000,2
92.000000,78.000000,2
98.000000,81.000000,2
82.000000,74.000000,2
86.000000,75.000000,2
83.000000,74.000000,2
95.000000,80.000000,2
95.000000,80.000000,2
97.000000,81.000000,2
92.000000,77.000000,2
93.000000,77.000000,2
83.000000,73.000000,2
78.000000,72.000000,2
99.000000,78.000000,2
88.000000,74.000000,2
79.000000,72.000000,2
92.000000,75.000000,2
94.000000,76.000000,2
91.000000,76.000000,2
90.000000,76.000000,2
95.000000,76.000000,2
85.000000,74.000000,2
88.000000,74.000000,2
96.000000,78.000000,2
90.000000,76.000000,2
90.000000,75.000000,2
81.000000,73.000000,2
94.000000,77.000000,2
82.000000,73.000000,2
82.000000,73.000000,2
94.000000,77.000000,2
99.000000,77.000000,2
84.000000,74.000000,2
81.000000,72.000000,2
88.000000,73.000000,2
74.000000,70.000000,2
92.000000,74.000000,2
78.000000,71.000000,2
98.000000,76.000000,2
89.000000,74.000000,2
87.000000,73.000000,2
93.000000,75.000000,2
89.000000,73.000000,2
88.000000,73.000000,2
87.000000,73.000000,2
78.000000,71.000000,2
99.000000,74.000000,2
95.000000,74.000000,2
91.000000,73.000000,2
98.000000,74.000000,2
95.000000,74.000000,2
85.000000,72.000000,2
99.000000,75.000000,2
86.000000,72.000000,2
99.000000,75.000000,2
80.000000,71.000000,2
99.000000,75.000000,2
98.000000,74.000000,2
78.000000,70.000000,2
92.000000,72.000000,2
78.000000,70.000000,2
90.000000,72.000000,2
86.000000,71.000000,2
95.000000,73.000000,2
89.000000,71.000000,2
89.000000,71.000000,2
94.000000,72.000000,2
82.000000,70.000000,2
87.000000,71.000000,2
87.000000,71.000000,2
88.000000,71.000000,2
74.000000,69.000000,2
89.000000,71.000000,2
89.000000,71.000000,2
78.000000,69.000000,2
92.000000,71.000000,2
77.000000,69.000000,2
99.000000,72.000000,2
69.000000,68.000000,2
93.000000,71.000000,2
88.000000,70.000000,2
72.000000,68.000000,2
97.000000,71.000000,2
71.000000,68.000000,2
82.000000,69.000000,2
89.000000,70.000000,2
82.000000,69.000000,2
83.000000,69.000000,2
91.000000,70.000000,2
91.000000,70.000000,2
76.000000,68.000000,2
76.000000,68.000000,2
4.000000,48.000000,3
11.000000,40.000000,3
15.000000,35.000000,3
5.000000,34.000000,3
1.000000,48.000000,3
8.000000,29.000000,3
14.000000,30.000000,3
3.000000,33.000000,3
6.000000,30.000000,3
4.000000,48.000000,3
11.000000,37.000000,3
20.000000,47.000000,3
12.000000,35.000000,3
7.000000,32.000000,3
6.000000,32.000000,3
7.000000,47.000000,3
15.000000,29.000000,3
2.000000,49.000000,3
22.000000,47.000000,3
26.000000,36.000000,3
11.000000,33.000000,3
16.000000,37.000000,3
9.000000,40.000000,3
7.000000,33.000000,3
21.000000,49.000000,3
25.000000,32.000000,3
26.000000,32.000000,3
24.000000,38.000000,3
9.000000,33.000000,3
0.000000,35.000000,3
25.000000,35.000000,3
12.000000,36.000000,3
18.000000,44.000000,3
8.000000,40.000000,3
19.000000,31.000000,3
13.000000,44.000000,3
23.000000,35.000000,3
14.000000,29.000000,3
0.000000,39.000000,3
8.000000,39.000000,3
23.000000,34.000000,3
14.000000,39.000000,3
5.000000,45.000000,3
16.000000,49.000000,3
2.000000,49.000000,3
22.000000,38.000000,3
11.000000,31.000000,3
11.000000,49.000000,3
28.000000,38.000000,3
7.000000,41.000000,3
27.000000,34.000000,3
2.000000,36.000000,3
28.000000,33.000000,3
13.000000,48.000000,3
10.000000,36.000000,3
21.000000,32.000000,3
1.000000,29.000000,3
26.000000,33.000000,3
25.000000,40.000000,3
2.000000,36.000000,3
2.000000,29.000000,3
11.000000,45.000000,3
20.000000,46.000000,3
16.000000,41.000000,3
0.000000,40.000000,3
13.000000,44.000000,3
14.000000,34.000000,3
22.000000,40.000000,3
14.000000,47.000000,3
28.000000,38.000000,3
0.000000,35.000000,3
15.000000,45.000000,3
11.000000,50.000000,3
2.000000,43.000000,3
0.000000,35.000000,3
14.000000,49.000000,3
2.000000,36.000000,3
12.000000,30.000000,3
14.000000,38.000000,3
18.000000,39.000000,3
5.000000,46.000000,3
7.000000,33.000000,3
9.000000,50.000000,3
1.000000,34.000000,3
13.000000,42.000000,3
24.000000,36.000000,3
21.000000,47.000000,3
8.000000,39.000000,3
6.000000,47.000000,3
8.000000,34.000000,3
9.000000,43.000000,3
8.000000,42.000000,3
23.000000,43.000000,3
25.000000,35.000000,3
22.000000,40.000000,3
29.000000,36.000000,3
5.000000,47.000000,3
24.000000,33.000000,3
4.000000,49.000000,3
8.000000,35.000000,3
16.000000,33.000000,3
5.000000,33.000000,3
15.000000,36.000000,3
14.000000,49.000000,3
25.000000,42.000000,3
19.000000,43.000000,3
7.000000,32.000000,3
25.000000,35.000000,3
10.000000,49.000000,3
25.000000,35.000000,3
16.000000,43.000000,3
19.000000,45.000000,3
13.000000,48.000000,3
18.000000,30.000000,3
2.000000,30.000000,3
6.000000,44.000000,3
23.000000,31.000000,3
17.000000,36.000000,3
20.000000,38.000000,3
3.000000,50.000000,3
23.000000,45.000000,3
23.000000,35.000000,3
13.000000,44.000000,3
12.000000,35.000000,3
19.000000,31.000000,3
2.000000,33.000000,3
2.000000,50.000000,3
16.000000,46.000000,3
11.000000,46.000000,3
21.000000,30.000000,3
26.000000,32.000000,3
17.000000,33.000000,3
